MotorSpeed,Voltage,Current,Temperature,NumberOfStarts,RunTime,Vibration,Age,MotorLoad,FaultHistory,RUL
1361.85,453.8,5.16,71.97,23,1257.61,0.493,5774.4,31.65,2,59.48
1466.2,433.74,5.83,46.28,49,881.66,0.654,3057.53,22.68,1,3052.56
1430.75,443.96,4.13,52.91,11,1095.88,0.51,5330.55,57.62,0,885.51
1416.15,444.94,4.34,57.11,2,848.02,0.132,5754.89,96.36,0,607.9
1480.58,442.61,4.7,52.16,26,745.2,0.0,4948.0,29.25,0,1530.37
1501.55,434.5,3.65,77.35,36,914.57,0.542,6093.23,95.7,0,0.0
1496.56,433.28,4.18,51.43,33,850.37,0.447,5888.83,78.67,0,373.22
1408.04,439.74,4.52,54.44,47,865.36,0.58,4947.28,71.0,0,1218.45
1434.54,451.73,5.87,62.04,13,1349.6,0.45,4233.76,71.62,1,1821.01
1466.56,445.44,5.26,47.98,40,923.77,0.904,6563.81,86.14,0,0.0
1498.78,436.29,5.19,56.04,25,801.13,0.546,5694.74,28.55,0,471.77
1426.04,447.72,5.85,63.17,4,1008.42,0.411,2927.85,60.38,1,3135.1
1440.72,411.51,4.86,56.67,42,1031.27,0.567,5331.35,75.77,0,818.2
1394.68,451.49,5.39,59.07,19,643.94,0.414,3273.46,66.95,2,2728.74
1390.19,422.6,4.9,54.71,18,910.48,0.519,3553.15,86.62,0,2640.49
1490.63,436.38,5.27,44.86,37,898.39,0.257,4022.13,25.78,2,2201.06
1517.81,428.8,4.42,63.22,30,948.36,0.498,5067.31,75.26,0,1051.39
1446.4,427.05,2.56,77.55,19,1217.66,0.404,5561.73,62.72,0,460.56
1500.18,451.61,4.87,60.18,23,1041.0,0.275,4386.59,50.33,0,1873.85
1468.08,435.32,6.42,62.25,16,1368.38,0.895,4452.23,47.22,1,1377.67
1417.74,443.47,5.93,66.93,1,996.5,0.283,4245.13,69.67,1,1843.97
1468.07,439.53,5.97,47.31,12,1532.83,0.501,6571.27,91.28,0,0.0
1526.9,444.77,6.24,77.03,24,861.77,0.339,720.58,59.69,2,5139.44
1448.21,440.77,5.09,62.02,34,769.13,0.559,4536.98,85.98,0,1563.08
1528.23,427.17,5.2,76.32,8,1164.19,0.245,7317.48,52.17,0,0.0
1319.01,449.96,4.38,52.67,18,1409.22,0.668,5775.85,28.19,1,263.42
1491.1,435.06,4.68,78.18,48,586.36,0.907,6900.27,24.92,0,0.0
1454.35,424.43,5.62,67.75,5,940.9,0.332,1948.63,24.11,0,4207.81
1435.05,435.72,6.2,65.53,26,816.77,0.743,3136.63,50.41,2,2636.37
1454.59,455.01,4.86,62.34,30,1042.86,0.424,5771.07,46.98,2,193.71
1350.62,448.5,4.55,57.51,13,1003.01,0.801,7325.95,77.43,2,0.0
1439.02,436.51,5.0,72.01,19,1403.61,0.938,3288.15,79.43,2,2322.95
1467.86,436.51,5.6,61.4,29,967.48,0.453,4418.36,24.07,0,1740.98
1523.89,436.78,3.56,40.33,3,1412.44,0.196,5602.2,37.69,1,796.54
1424.09,460.77,2.7,48.83,26,905.47,0.69,2821.25,41.94,0,3345.66
1409.58,443.82,4.45,58.14,40,1277.94,0.545,5782.54,63.81,2,163.61
1424.91,444.3,3.78,63.1,12,1068.6,0.6,986.47,31.56,0,5082.35
1495.77,450.3,4.49,59.43,2,1518.97,0.432,5738.36,30.72,0,451.28
1466.44,442.39,4.85,72.19,11,556.9,0.323,3507.37,95.5,0,2609.18
1423.51,437.41,4.55,40.49,44,650.84,0.732,4328.6,84.34,0,1900.47
1475.66,438.04,6.45,61.44,28,1549.49,0.564,5977.83,34.45,0,125.84
1454.85,439.28,5.33,41.82,18,780.02,0.211,5670.88,52.53,1,705.28
1498.43,439.63,5.3,67.6,13,799.06,0.637,4988.03,48.45,1,917.31
1414.9,447.28,5.62,59.06,37,737.28,0.597,6453.56,83.28,0,0.0
1433.62,440.52,3.86,64.2,22,1344.53,0.435,2449.74,60.82,1,3590.83
1430.39,447.33,6.04,51.36,12,623.96,0.824,5306.62,30.23,0,767.79
1376.82,439.19,4.92,72.79,2,1006.74,0.376,3814.74,79.12,0,2269.13
1464.81,440.79,5.67,70.42,37,920.31,0.466,6377.05,51.75,0,0.0
1463.05,420.02,3.93,65.84,7,1310.95,0.654,6030.6,41.03,1,0.0
1450.26,449.16,3.45,58.7,26,830.9,0.515,6085.02,50.04,1,0.0
1438.27,443.46,5.82,65.8,26,1124.58,0.223,7468.07,59.82,0,0.0
1379.23,449.98,5.38,52.93,24,648.64,0.537,6689.52,47.45,0,0.0
1428.97,411.04,4.1,68.56,12,1682.18,0.417,4763.87,39.35,0,1342.02
1432.86,460.88,4.13,76.49,16,928.12,0.671,4998.1,51.88,0,901.25
1409.89,438.6,6.13,70.71,23,1002.63,0.53,5901.41,21.53,0,126.41
1441.94,451.08,3.81,52.7,40,1496.43,0.519,5204.26,81.8,0,1009.25
1470.2,429.6,6.64,63.61,9,824.0,0.29,6057.76,33.68,0,160.92
1544.31,446.13,4.1,47.07,32,1500.21,0.454,1654.52,23.51,2,4447.8
1458.73,429.47,5.64,65.72,15,876.56,0.694,7821.21,72.3,0,0.0
1462.88,433.76,4.67,64.51,37,1201.51,0.345,5091.54,81.91,0,1091.05
1446.28,459.14,5.6,41.3,13,828.2,0.493,2566.3,85.11,0,3773.93
1354.06,438.09,4.46,48.38,5,593.19,0.313,3629.31,59.48,1,2630.51
1448.67,442.17,4.84,57.17,11,1124.38,0.263,1806.01,36.43,1,4390.69
1453.01,448.7,5.04,56.99,10,1191.97,0.483,3364.65,78.98,1,2723.92
1573.16,444.96,4.0,47.91,13,605.23,0.535,4786.63,75.98,0,1466.94
1440.38,441.5,5.74,63.89,41,907.88,0.899,7272.07,39.7,1,0.0
1465.08,443.65,4.49,62.51,46,1360.23,0.409,5616.01,92.27,0,554.39
1448.26,464.03,4.77,58.06,15,1180.04,0.49,5349.29,28.35,0,825.15
1391.57,439.42,4.01,52.44,42,881.44,0.25,3297.34,98.62,0,3053.24
1507.14,442.01,2.44,70.49,7,820.74,0.622,3763.27,88.82,0,2220.63
1487.6,450.51,4.81,76.55,40,1584.47,0.58,3879.61,75.03,2,1865.04
1489.55,451.06,7.41,55.16,28,565.92,0.798,3940.81,95.1,1,2008.71
1404.53,451.87,5.78,53.88,32,982.24,0.722,4472.69,77.78,0,1627.36
1520.14,446.39,4.98,64.91,35,560.59,0.57,4585.98,35.24,0,1479.76
1379.91,428.57,4.74,56.42,15,1394.44,0.406,4491.38,55.37,0,1741.43
1479.34,456.33,5.02,58.61,48,997.86,0.541,3993.01,25.72,0,2150.46
1559.52,428.54,5.55,67.4,36,1053.45,0.478,5202.58,51.17,0,884.56
1400.47,443.03,3.82,40.91,21,1830.67,0.691,4528.38,79.33,2,1517.22
1421.69,432.46,6.11,73.18,6,821.96,0.665,2606.65,50.92,2,3128.9
1454.98,439.36,5.72,60.73,1,1524.57,0.441,5051.57,46.42,0,1120.8
1424.83,443.29,5.72,55.89,4,882.78,0.208,4824.85,67.63,1,1412.49
1372.47,443.21,5.44,59.11,11,929.95,0.767,2630.56,89.78,0,3395.03
1453.43,444.22,5.02,59.62,44,1791.45,0.616,4113.05,23.81,0,1982.52
1396.88,456.14,5.67,42.69,26,951.67,0.436,5895.61,50.84,0,459.46
1473.68,444.54,5.59,74.95,37,587.69,0.609,3295.33,32.66,0,2650.89
1404.03,437.56,4.65,60.41,23,1084.58,0.515,3136.73,75.63,1,2901.65
1527.5,449.64,4.43,64.43,29,948.18,0.764,4512.67,28.46,0,1461.16
1410.84,451.89,5.1,69.52,21,1110.13,0.114,5934.4,73.18,0,313.42
1433.9,427.72,6.55,49.79,48,959.92,0.421,7715.49,42.89,0,0.0
1490.68,445.97,3.76,64.73,45,1664.66,0.82,5988.4,35.91,2,0.0
1388.46,447.01,3.53,57.32,45,1167.02,0.613,6627.24,94.91,0,0.0
1461.37,437.02,5.16,68.47,49,677.51,0.855,5520.05,21.48,1,268.02
1515.36,453.76,5.05,38.73,27,1037.36,0.256,3972.33,55.02,1,2412.58
1369.63,438.5,5.17,59.01,39,760.11,0.714,5977.57,21.73,0,75.12
1459.23,441.26,5.24,53.97,40,925.69,0.702,4871.59,58.69,0,1237.47
1462.99,438.27,4.78,64.32,13,726.87,0.164,5565.55,60.08,1,609.4
1489.09,440.16,6.49,64.7,23,1632.14,0.441,3580.96,45.73,0,2551.59
1388.15,429.04,3.4,52.92,16,792.58,0.479,5699.67,30.57,2,331.75
1383.98,425.6,4.17,52.88,30,1206.27,0.176,4819.24,50.11,0,1563.94
1476.1,455.95,4.9,58.89,4,902.96,0.445,5346.89,73.78,0,841.64
1464.85,431.53,3.36,51.03,40,652.48,0.675,4872.39,82.59,1,1179.96
1462.52,430.09,4.82,68.42,16,1059.29,0.422,4584.2,62.46,1,1420.7
1467.32,418.47,6.66,56.31,31,1120.21,0.548,5727.04,67.19,2,235.67
1416.0,433.61,5.02,30.93,42,1167.59,0.55,4390.86,36.05,0,2024.9
1461.61,426.77,5.23,56.25,25,213.33,0.498,2616.97,42.99,2,3371.73
1464.65,456.42,3.74,49.61,44,629.55,0.359,2189.04,32.95,1,4035.33
1414.28,450.1,4.38,43.69,12,1287.27,0.632,5276.62,39.94,1,870.62
1543.29,433.12,4.62,47.63,26,722.92,0.183,4329.17,37.99,0,2103.27
1473.69,462.52,4.68,61.09,37,1060.88,0.502,2406.35,61.56,0,3731.85
1390.43,449.82,6.28,73.29,48,622.59,0.777,5159.8,65.02,2,518.78
1482.83,436.75,5.56,63.13,33,1219.48,0.411,4859.19,95.6,0,1304.23
1401.27,415.01,3.89,53.93,28,1279.38,0.355,4250.58,35.65,0,2032.8
1489.35,462.91,5.25,64.56,9,1219.57,0.645,5370.21,71.33,0,661.64
1507.93,426.1,5.5,55.41,12,1309.77,0.533,6972.64,85.38,0,0.0
1408.97,423.55,6.14,53.05,5,1469.17,0.649,6926.89,64.82,0,0.0
1498.17,450.23,6.58,48.46,28,647.78,0.508,5215.65,40.4,0,1045.94
1470.64,464.4,3.98,42.48,35,763.4,0.022,4872.93,41.0,1,1591.08
1491.1,453.84,4.19,56.1,5,1269.26,0.736,5236.6,23.14,0,834.4
1544.84,445.64,3.74,61.58,34,1339.07,0.914,5463.51,44.44,0,463.68
1437.73,445.95,4.77,59.03,46,797.7,0.757,4597.55,79.57,0,1433.71
1412.31,448.53,5.47,55.84,34,776.83,0.0,5261.81,23.8,0,1179.78
1405.52,447.59,5.99,50.54,13,804.34,0.59,2639.56,37.54,0,3559.91
1409.21,442.81,4.92,66.08,39,518.47,0.407,5122.02,76.5,1,913.83
1446.14,441.04,4.68,46.83,42,618.58,0.283,5715.22,82.61,0,674.92
1467.06,439.37,5.15,67.76,45,625.81,0.525,4265.24,56.43,2,1594.89
1463.83,432.46,4.16,49.98,48,911.77,0.47,4856.79,75.85,0,1408.33
1491.36,437.19,7.09,52.48,14,1081.25,0.602,3332.74,51.04,0,2841.64
1450.65,423.07,3.39,45.33,11,1130.04,0.511,3124.53,32.79,0,3166.49
1522.68,439.02,5.18,54.99,42,847.43,0.276,5316.22,51.85,0,996.0
1436.77,430.11,7.02,69.75,38,854.8,0.385,3905.66,66.4,1,2104.47
1586.01,428.96,5.01,65.16,4,1037.1,0.352,2334.76,95.84,1,3737.47
1481.28,441.8,4.81,69.78,33,551.2,0.157,3332.33,25.5,0,2891.47
1407.14,453.92,4.64,65.22,7,1287.83,0.226,3550.43,60.59,0,2684.52
1396.46,449.18,4.82,48.96,41,1385.62,0.458,6161.87,46.31,0,119.6
1474.12,424.29,6.37,56.69,8,812.33,0.785,5268.67,60.66,0,772.03
1438.83,430.1,2.79,52.2,37,880.47,0.393,3692.6,21.92,2,2388.98
1485.7,449.41,6.53,73.31,10,1372.99,0.349,4118.35,45.04,0,1974.33
1473.66,430.18,3.58,48.03,43,963.08,0.264,6968.13,85.59,1,0.0
1446.36,437.75,4.73,68.94,15,1176.47,0.506,6404.15,64.32,0,0.0
1407.66,445.5,4.57,68.93,38,972.31,0.736,3322.91,56.05,0,2619.87
1374.26,430.32,5.59,78.3,15,1466.89,0.901,6745.29,42.84,0,0.0
1427.67,441.05,3.4,55.9,5,1147.02,0.557,4879.06,43.84,0,1283.37
1492.82,426.66,5.46,67.12,29,1164.3,0.528,6199.42,50.65,1,0.0
1460.7,433.99,7.02,82.82,19,1169.89,0.391,4755.04,86.85,0,1221.14
1387.71,443.2,3.64,53.82,10,833.47,0.425,6778.74,97.38,1,0.0
1458.66,424.07,5.19,44.65,12,861.03,0.626,3260.57,55.09,0,2980.02
1469.27,444.4,4.34,41.2,4,1230.77,0.437,4616.82,51.47,2,1552.66
1405.81,439.8,5.43,67.13,31,1037.92,0.468,6824.69,87.72,0,0.0
1457.69,445.52,5.02,41.17,18,646.72,0.495,1411.09,54.15,1,4829.76
1452.91,442.24,4.36,56.28,16,1561.93,0.382,4930.91,64.16,1,1215.41
1392.85,453.64,5.49,64.37,40,1293.42,0.485,4409.68,38.48,2,1504.09
1467.89,441.25,6.8,61.85,36,1011.29,0.096,6026.99,79.48,0,306.43
1478.04,435.71,4.81,64.25,25,917.95,0.61,6604.87,62.56,1,0.0
1504.15,441.22,5.72,62.22,23,1059.6,0.97,6095.43,84.72,0,0.0
1502.69,445.43,3.71,72.79,12,1155.26,0.39,5361.5,82.46,0,715.82
1381.12,440.49,4.04,50.48,34,390.1,0.575,5060.85,37.2,0,1147.0
1403.11,440.41,5.47,53.23,36,1633.7,0.67,4485.93,77.25,0,1646.61
1475.75,432.98,6.48,52.27,37,763.03,0.756,5314.96,84.0,2,584.29
1475.69,433.37,5.36,68.3,3,999.43,0.447,7189.48,47.69,0,0.0
1475.75,425.97,4.69,69.0,9,1010.46,0.139,3754.23,33.81,0,2486.06
1642.64,457.5,5.0,64.51,18,1599.06,0.553,4396.88,20.21,0,1681.28
1478.54,427.56,3.75,71.83,43,973.56,0.526,4886.74,56.07,0,1132.05
1506.78,433.07,5.6,48.22,35,1476.55,0.431,6501.4,48.19,0,0.0
1497.7,432.82,5.88,76.67,34,1122.02,0.473,5334.95,64.39,0,661.68
1482.57,448.95,4.55,75.23,41,711.43,0.529,6475.22,35.04,0,0.0
1434.24,437.05,4.53,67.36,14,1040.41,0.572,6551.16,88.77,0,0.0
1487.95,452.48,5.27,77.82,4,964.45,0.564,5888.06,40.62,2,0.0
1411.36,433.27,4.56,43.43,29,674.78,0.456,3404.01,38.11,1,2833.42
1438.16,442.79,4.93,54.76,41,1107.32,0.577,7491.64,58.46,2,0.0
1425.73,431.65,7.1,52.65,45,1006.63,0.443,7118.57,59.91,0,0.0
1454.09,461.45,4.75,67.21,15,1166.93,0.628,5095.31,37.21,0,918.34
1565.73,428.12,4.64,49.5,28,1058.01,0.375,2927.34,41.75,0,3390.41
1356.64,443.1,4.35,67.57,42,804.67,0.515,2659.25,33.58,0,3407.69
1484.31,446.34,5.74,73.71,16,1230.5,0.175,5381.47,77.48,0,793.85
1369.36,444.14,4.82,66.95,12,812.68,0.426,3947.37,81.61,0,2170.1
1426.4,438.15,4.35,62.84,5,70.1,0.613,2424.22,56.99,0,3640.66
1504.45,438.7,6.32,50.12,34,1038.6,0.293,2630.95,77.13,0,3721.21
1453.21,440.44,6.42,51.53,42,833.78,0.436,4295.03,78.87,1,1871.67
1396.11,438.53,4.4,72.5,1,1114.64,0.019,5292.39,31.06,0,973.15
1414.23,449.64,3.13,67.79,39,1599.66,0.226,7108.57,97.29,0,0.0
1483.98,462.11,6.01,59.61,32,1608.32,0.279,5726.33,85.68,0,538.22
1413.48,434.43,4.32,55.82,26,950.46,0.52,4427.89,36.36,0,1753.72
1460.82,426.3,5.79,39.74,17,752.05,0.567,5569.92,34.89,0,749.32
1452.28,439.12,3.03,49.29,48,1175.4,0.489,5435.85,30.05,0,826.84
1417.42,465.8,5.89,79.11,27,888.93,0.423,6109.32,31.07,0,0.0
1557.2,431.96,3.79,47.2,24,1117.53,0.424,4940.09,79.85,1,1275.87
1481.7,456.39,5.73,61.89,35,801.74,0.643,6554.3,57.57,1,0.0
1348.74,456.78,5.01,70.07,46,1075.21,0.543,6236.68,82.63,0,0.0
1459.32,434.46,4.05,47.45,42,756.41,0.433,5124.05,79.7,0,1184.84
1416.91,445.69,4.59,61.85,39,1355.28,0.759,4821.16,68.37,0,1181.04
1492.62,456.28,5.69,69.38,26,823.01,0.89,6379.62,74.91,1,0.0
1410.37,436.21,5.11,60.12,49,1198.33,0.251,3929.79,21.47,0,2343.54
1444.26,437.96,5.58,88.68,38,620.57,0.605,2740.08,44.94,0,3070.83
1475.25,434.18,6.98,43.31,23,1234.35,1.118,2731.55,71.03,0,3276.32
1493.29,429.85,3.44,70.59,22,710.08,0.556,3805.44,20.75,0,2210.67
1389.99,433.51,6.62,58.27,4,1078.35,0.523,5989.48,22.64,1,66.26
1433.27,427.76,5.1,67.72,49,1306.96,0.489,4365.8,88.15,0,1712.58
1426.25,440.34,4.1,64.41,9,940.01,0.598,5306.77,74.72,0,750.08
1417.33,432.3,3.67,52.67,4,691.25,0.651,4257.06,41.23,0,1890.77
1538.27,442.34,4.81,62.29,7,1149.04,0.251,4268.96,75.04,0,1982.61
1470.25,424.44,5.92,41.42,23,747.71,0.495,3461.8,83.4,1,2776.63
1386.96,443.31,4.87,66.03,2,878.73,0.046,4862.16,44.54,1,1354.47
1495.89,448.34,6.51,62.98,49,1079.64,0.458,4737.25,22.88,0,1403.86
1556.11,420.06,3.55,66.39,24,1408.2,0.319,5619.0,94.62,0,557.41
1501.62,443.74,4.99,70.58,40,1007.97,0.568,5431.55,47.61,0,578.72
1374.03,452.28,3.75,63.68,31,1006.86,0.169,4704.28,28.52,0,1574.6
1425.79,427.9,5.36,61.48,47,1221.25,0.398,2740.87,59.35,0,3445.56
1513.35,456.73,5.89,51.19,31,1015.11,0.693,6605.87,81.48,0,0.0
1414.62,444.19,4.58,52.88,47,1190.66,0.365,4872.43,37.73,0,1416.42
1472.19,432.95,2.4,71.87,40,1323.56,0.119,5119.46,41.56,0,1102.36
1488.73,439.44,5.2,74.36,48,901.68,0.552,7400.74,39.42,0,0.0
1403.65,445.58,5.44,57.62,43,17.5,0.383,6362.33,99.33,1,0.0
1447.02,440.76,5.4,60.46,34,754.62,0.463,5669.67,35.79,0,494.31
1287.94,445.39,6.24,50.95,24,1362.6,0.354,4996.54,66.04,1,1216.91
1398.78,430.79,3.93,71.73,49,989.87,0.895,4982.53,94.02,0,852.75
1437.37,441.69,5.68,66.65,26,898.26,0.188,5360.17,31.75,0,879.09
1387.61,425.86,6.19,79.41,16,1350.04,1.067,5610.36,97.67,1,0.0
1531.62,438.89,3.22,51.22,47,969.6,0.422,7567.1,95.8,0,0.0
1378.49,430.96,5.32,56.22,13,372.24,0.537,8709.9,90.77,1,0.0
1428.0,432.64,4.5,62.31,15,548.41,0.385,5435.39,37.16,0,748.94
1456.54,452.36,4.92,66.46,27,1125.59,0.377,1770.09,70.72,0,4376.93
1522.06,450.91,5.35,57.84,4,979.93,0.343,3572.38,80.87,0,2677.67
1378.21,446.09,4.51,51.27,16,1436.4,0.62,7717.25,98.88,0,0.0
1508.16,429.08,4.32,68.81,30,780.02,0.218,6077.98,34.43,0,124.96
1450.51,436.84,5.03,67.21,44,907.15,0.573,5639.07,81.28,0,402.41
1400.92,452.13,3.91,50.84,30,734.65,0.063,4749.74,47.1,0,1710.33
1473.11,441.42,3.91,73.55,36,843.82,0.555,3216.47,34.05,0,2770.64
1459.95,463.19,5.68,71.7,3,432.43,0.67,7516.68,53.71,0,0.0
1419.99,443.93,3.85,61.34,22,884.29,0.245,3765.18,83.51,0,2498.84
1453.49,441.92,5.67,60.8,49,984.44,0.636,6093.97,57.19,0,0.0
1430.73,436.91,5.46,65.54,22,959.1,0.51,3048.95,63.0,0,3040.51
1455.68,441.34,3.27,51.38,49,1644.87,0.82,4676.98,99.61,1,1299.35
1483.11,438.48,4.32,60.3,12,1550.05,0.329,6489.44,51.93,1,0.0
1529.3,447.08,6.19,38.48,21,774.73,1.063,4625.46,69.23,0,1458.18
1388.11,449.57,4.02,68.76,4,386.82,0.022,4447.33,49.22,2,1654.11
1556.65,432.14,4.54,44.39,31,970.24,0.434,5015.95,51.42,0,1323.15
1352.4,426.69,5.46,75.03,44,1112.95,0.16,2996.0,75.65,2,2973.52
1442.41,421.64,5.78,56.7,31,741.85,0.87,2713.78,95.03,1,3184.13
1479.42,445.08,4.75,57.88,23,756.71,0.448,6071.35,63.39,1,25.98
1464.05,428.97,4.4,53.72,20,1474.77,0.466,4366.69,81.47,0,1863.26
1418.87,418.47,6.42,57.12,15,922.73,0.589,6059.73,27.14,0,74.75
1439.59,443.89,6.74,74.19,23,1198.68,0.499,6677.27,36.89,0,0.0
1425.35,464.93,5.98,35.12,28,720.91,0.381,6797.96,60.17,1,0.0
1420.53,439.94,5.09,72.77,16,982.92,0.249,2568.49,21.6,0,3579.48
1492.48,448.38,4.19,63.38,37,899.1,0.534,3953.26,40.23,1,2046.09
1467.85,440.82,4.17,47.93,21,797.39,0.576,5806.38,61.39,0,426.44
1415.35,439.01,5.52,49.25,15,1346.59,0.639,5829.5,21.2,1,258.49
1494.98,449.19,5.42,76.76,17,583.34,0.883,8374.16,41.16,0,0.0
1465.36,437.1,6.4,50.54,37,1090.02,0.065,3638.58,61.12,0,2823.35
1490.64,442.67,5.65,48.47,13,893.46,0.486,6752.25,65.85,0,0.0
1481.48,443.22,3.5,71.37,19,1124.45,0.738,5558.41,94.06,0,358.68
1408.55,433.32,6.05,63.39,30,897.53,0.475,2539.65,71.63,0,3588.95
1421.99,449.92,4.0,50.62,45,1260.16,0.032,4178.28,53.18,1,2199.33
1487.36,438.25,4.62,62.17,18,718.09,0.242,5393.79,94.43,0,863.65
1480.52,432.44,5.25,49.74,14,1347.27,0.566,2443.45,82.79,0,3776.27
1448.95,445.37,7.0,71.01,36,991.36,0.558,1889.14,36.0,1,4021.56
1455.87,431.02,8.11,70.61,36,601.45,0.635,2358.14,30.47,0,3618.47
1513.88,440.28,5.61,65.32,20,1204.06,0.344,5388.7,74.06,2,586.2
1420.42,439.91,4.82,63.62,19,940.35,0.552,4273.0,64.79,2,1614.85
1477.35,450.86,5.53,77.61,45,487.65,0.311,4070.07,83.17,0,1998.4
1439.89,444.75,5.89,60.0,44,1099.74,0.552,4121.57,79.1,0,2002.47
1439.12,439.75,4.68,48.18,7,1301.98,0.511,2863.82,70.02,0,3399.05
1504.94,448.18,6.8,64.49,44,1384.64,0.336,4315.4,98.91,1,1771.74
1491.27,453.9,5.23,80.86,4,886.49,0.812,2269.4,62.69,0,3516.17
1490.68,445.58,5.5,49.85,34,1043.6,0.159,6781.46,29.05,0,0.0
1515.27,440.1,5.67,56.39,2,1015.16,0.472,7538.49,86.26,1,0.0
1451.05,426.88,5.42,64.16,5,1446.94,0.331,1510.9,40.15,0,4681.74
1484.1,429.35,5.84,59.46,10,756.85,0.867,4296.31,82.18,1,1575.66
1434.49,436.95,4.38,50.18,32,860.6,0.62,4393.98,96.57,1,1694.41
1466.21,433.9,4.44,71.22,42,749.58,0.37,4738.27,75.74,0,1364.47
1443.49,438.13,3.9,83.2,41,565.25,0.444,6502.3,67.68,1,0.0
1454.85,440.57,5.44,61.96,13,1074.34,0.872,4300.68,56.83,1,1543.58
1479.76,445.3,5.78,50.96,39,1480.39,0.311,4867.62,49.15,0,1467.41
